ID,Category,Gender,BirthDate,Age
25876,food,female,2002-03-09,21
26460,food,female,2002-08-24,21
26719,food,female,2002-02-27,21
27431,food,female,2003-09-12,20
27573,food,female,2003-03-04,20
27682,food,female,2002-08-29,21
27818,food,female,2002-01-05,21
28015,food,female,2002-02-23,21
28225,food,female,2003-11-21,20
28414,food,female,2003-08-05,20
28533,food,female,2003-09-06,20
28638,food,female,2003-10-06,20
28697,food,female,2003-09-27,20
29113,food,female,2002-04-22,21
29213,food,female,2003-09-03,20
29389,food,female,2002-11-16,21
29442,food,female,2003-10-07,20
29462,food,female,2003-06-04,20
29625,food,female,2002-04-02,21
29721,food,female,2003-11-09,20
29740,food,female,2003-05-09,20
29930,food,female,2002-01-15,21
30009,food,female,2002-07-19,21
30724,food,female,2003-12-05,20
31023,food,female,2002-11-14,21
31389,food,female,2002-01-12,21
31685,food,female,2002-06-24,21
32662,food,female,2002-07-20,21
33097,food,female,2002-08-02,21
33162,food,female,2002-10-06,21
33240,food,female,2003-01-11,20
33517,food,female,2003-01-28,20
33994,food,female,2002-06-12,21
34080,food,female,2002-04-13,21
34478,food,female,2002-08-04,21
35025,food,female,2003-06-12,20
35337,food,female,2003-06-23,20
35397,food,female,2002-04-06,21
35438,food,female,2002-01-06,21
35634,food,female,2003-08-28,20
35681,food,female,2002-03-02,21
35746,food,female,2003-02-16,20
35906,food,female,2003-12-19,19
36054,food,female,2003-07-08,20
36207,food,female,2002-08-14,21
36708,food,female,2003-09-15,20
37401,food,female,2002-04-08,21
37895,food,female,2003-12-06,20
38232,food,female,2003-01-31,20
38416,food,female,2003-08-13,20
38497,food,female,2003-01-25,20
38510,food,female,2003-11-25,20
38566,food,female,2002-08-09,21
38570,food,female,2003-09-25,20
38657,food,female,2003-09-06,20
38798,food,female,2003-05-21,20
39404,food,female,2003-11-14,20
39556,food,female,2002-07-07,21
39987,food,female,2003-10-23,20
39991,food,female,2002-08-19,21
40027,food,female,2002-08-02,21
40509,food,female,2002-08-24,21
40735,food,female,2003-08-14,20
42076,food,female,2003-10-25,20
42288,food,female,2003-10-21,20
42337,food,female,2003-08-02,20
42479,food,female,2002-09-20,21
43455,food,female,2002-06-14,21
43753,food,female,2003-02-23,20
43842,food,female,2003-04-01,20
44063,food,female,2002-03-11,21
44233,food,female,2003-05-05,20
44455,food,female,2003-03-26,20
45330,food,female,2003-08-09,20
45797,food,female,2002-10-28,21
45839,food,female,2003-01-28,20
46110,food,female,2003-06-25,20
46241,food,female,2003-07-19,20
48157,food,female,2002-03-20,21
48304,food,female,2002-05-24,21
48994,food,female,2002-08-30,21
49391,food,female,2002-03-23,21
49555,food,female,2002-12-31,20
49700,food,female,2002-06-23,21
49703,food,female,2002-03-14,21
49802,food,female,2002-11-29,21
49864,food,female,2002-06-07,21
49928,food,female,2003-04-06,20
49965,food,female,2002-05-07,21
50062,food,female,2002-03-31,21
50505,food,female,2002-04-21,21
50690,food,female,2002-09-20,21
50833,food,female,2002-02-01,21
50857,food,female,2002-03-20,21
50912,food,female,2003-01-08,20
51375,food,female,2002-10-02,21
51937,food,female,2001-12-25,21
52302,food,female,2003-01-21,20
52799,food,female,2003-06-22,20
52992,food,female,2003-03-07,20
54012,food,female,2003-05-19,20
54257,food,female,2002-01-13,21
54258,food,female,2003-01-16,20
54693,food,female,2002-08-12,21
54798,food,female,2003-04-11,20
54897,food,female,2002-02-23,21
55569,food,female,2003-05-23,20
56091,food,female,2003-09-11,20
56485,food,female,2003-12-11,20
56497,food,female,2002-06-14,21
56674,food,female,2002-03-05,21
56818,food,female,2003-11-12,20
56935,food,female,2002-07-28,21
57014,food,female,2003-09-20,20
57032,food,female,2001-12-23,21
57654,food,female,2003-10-28,20
57704,food,female,2002-05-27,21
58167,food,female,2003-01-17,20
58479,food,female,2003-02-05,20
59808,food,female,2003-01-20,20
60552,food,female,2002-05-26,21
60554,food,female,2002-02-14,21
60940,food,female,2002-11-07,21
61065,food,female,2002-07-30,21
62464,food,female,2002-10-17,21
62849,food,female,2003-09-03,20
62962,food,female,2003-07-04,20
63479,food,female,2003-10-29,20
63630,food,female,2003-08-30,20
64147,food,female,2003-11-06,20
64340,food,female,2002-12-01,21
64448,food,female,2002-11-20,21
64929,food,female,2002-02-16,21
65251,food,female,2003-06-17,20
65266,food,female,2003-09-20,20
65701,food,female,2002-02-20,21
65965,food,female,2002-05-31,21
66343,food,female,2002-07-12,21
66372,food,female,2003-01-29,20
66448,food,female,2003-05-22,20
66471,food,female,2002-05-06,21
66668,food,female,2002-01-14,21
66891,food,female,2002-07-03,21
66975,food,female,2002-08-28,21
67020,food,female,2002-06-16,21
67497,food,female,2002-09-03,21
67512,food,female,2003-08-29,20
67880,food,female,2003-09-11,20
68806,food,female,2003-11-30,20
69210,food,female,2002-02-04,21
69267,food,female,2003-05-10,20
69457,food,female,2002-12-07,21
69500,food,female,2003-05-15,20
69785,food,female,2003-10-02,20
70819,food,female,2002-03-06,21
70927,food,female,2002-05-05,21
71356,food,female,2002-03-03,21
71359,food,female,2002-07-28,21
71899,food,female,2003-04-05,20
71958,food,female,2002-01-02,21
71968,food,female,2003-01-14,20
72102,food,female,2002-09-08,21
72374,food,female,2002-09-24,21
72426,food,female,2003-06-10,20
72464,food,female,2003-11-03,20
72696,food,female,2003-12-08,20
72922,food,female,2002-03-27,21
73091,food,female,2003-11-03,20
73765,food,female,2002-11-16,21
74008,food,female,2002-11-06,21
74167,food,female,2003-02-02,20
74494,food,female,2003-10-04,20
74614,food,female,2003-01-10,20
75351,food,female,2002-09-23,21
75412,food,female,2002-09-10,21
75641,food,female,2003-12-01,20
75742,food,female,2002-11-09,21
75779,food,female,2003-01-07,20
75907,food,female,2002-07-15,21
76302,food,female,2003-09-07,20
76456,food,female,2002-11-17,21
76578,food,female,2002-11-27,21
76646,food,female,2003-10-03,20
76999,food,female,2003-12-10,20
77033,food,female,2003-08-11,20
77056,food,female,2002-07-30,21
77164,food,female,2003-01-06,20
77704,food,female,2003-04-02,20
78066,food,female,2003-11-04,20
78848,food,female,2003-04-14,20
80779,food,female,2002-10-24,21
80983,food,female,2002-07-26,21
81019,food,female,2002-04-16,21
81173,food,female,2002-10-06,21
81798,food,female,2003-05-09,20
81835,food,female,2002-03-05,21
81866,food,female,2003-02-20,20
81994,food,female,2003-11-10,20
82459,food,female,2003-04-24,20
82991,food,female,2002-10-23,21
83250,food,female,2003-01-16,20
83320,food,female,2002-01-27,21
83412,food,female,2002-12-06,21
83494,food,female,2003-12-08,20
83646,food,female,2003-11-13,20
83650,food,female,2002-10-04,21
83933,food,female,2002-04-27,21
83944,food,female,2002-11-01,21
83991,food,female,2003-07-29,20
85745,food,female,2002-10-22,21
85942,food,female,2003-07-05,20
86310,food,female,2003-04-26,20
86584,food,female,2003-03-25,20
87005,food,female,2002-06-18,21
87009,food,female,2003-07-15,20
87293,food,female,2003-06-28,20
87740,food,female,2002-12-10,21
88000,food,female,2002-10-06,21
88210,food,female,2002-02-13,21
88525,food,female,2002-05-16,21
89690,food,female,2002-05-11,21
89735,food,female,2002-08-20,21
90254,food,female,2002-04-27,21
90931,food,female,2002-12-10,21
91047,food,female,2003-04-04,20
92457,food,female,2003-11-01,20
92485,food,female,2002-02-19,21
92836,food,female,2002-04-03,21
93071,food,female,2002-12-09,21
93615,food,female,2003-04-24,20
93932,food,female,2002-04-03,21
93946,food,female,2003-02-06,20
93965,food,female,2002-05-21,21
94165,food,female,2003-04-03,20
94447,food,female,2003-05-04,20
94610,food,female,2002-08-15,21
94865,food,female,2002-07-09,21
95150,food,female,2002-09-29,21
96023,food,female,2002-02-13,21
96201,food,female,2003-06-17,20
96351,food,female,2003-01-27,20
96523,food,female,2003-12-15,20
96780,food,female,2003-03-21,20
97090,food,female,2002-03-11,21
97549,food,female,2003-08-05,20
97758,food,female,2003-08-03,20
98226,food,female,2002-05-04,21
98371,food,female,2002-09-13,21
98410,food,female,2002-01-22,21
98441,food,female,2003-06-24,20
98583,food,female,2003-11-30,20
98955,food,female,2003-10-11,20
99269,food,female,2003-07-28,20
99361,food,female,2002-05-29,21
99692,food,female,2002-02-20,21
